Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
 957.000,12404.000,  97.460,  10.348,  93.732,   8.976,  85.892,   8.985
 958.000,  25.000,  40.960,  15.946,  33.880,  15.736,  37.920,  15.753
 959.000,   2.000,  19.500,   3.500,  18.500,   3.500,  14.500,   3.500
 960.000,35647.000,  89.252,  11.015,  87.414,  10.772,  80.166,  10.244
 961.000,22420.000,  83.490,  11.412,  78.167,  10.788,  76.036,  10.607
 962.000,  16.000, 131.625,   9.816, 132.625,   9.752, 122.125,   9.772
 963.000,   7.000,  35.429,  13.834,  36.429,  13.834,  30.143,  13.421
 964.000,10803.000, 107.234,  10.248, 103.299,   9.255,  94.480,   8.825
 965.000,11058.000,  93.513,   9.717,  89.121,   9.456,  84.206,   8.828
 966.000,10712.000,  97.846,   9.893,  87.936,   9.253,  86.697,   8.484
 967.000,18005.000, 109.682,  13.431,  97.177,  11.672,  96.299,  11.574
 968.000,   6.000,  45.500,  17.727,  40.833,  17.818,  37.833,  17.818
 969.000,12543.000,  88.723,   8.760,  87.462,   8.257,  81.007,   7.945
 970.000,13108.000,  91.624,  11.247,  87.375,  10.307,  80.936,   9.643
 971.000,   4.000,  27.500,   9.500,  21.500,   9.500,  22.500,   9.605
 972.000,31869.000,  90.473,  10.911,  87.101,  10.283,  81.429,   9.829
 973.000,   4.000,  43.250,  17.166,  39.250,  17.166,  38.250,  17.166
 974.000,  10.000,  44.000,  17.833,  50.000,  17.833,  38.000,  17.833
 975.000,26765.000,  85.562,  11.157,  87.183,  10.928,  78.228,  10.453
 976.000,  18.000,  39.944,  16.668,  50.778,  15.862,  40.778,  15.739
 977.000,48451.000,  99.584,  13.317,  90.608,  10.920,  88.139,  11.092
 978.000,   4.000,  25.500,  10.805,  36.500,   9.937,  27.000,  10.368
 979.000,   7.000,  32.429,  16.961,  35.429,  16.961,  28.429,  16.961
 980.000,   7.000,  46.143,  16.907,  40.857,  16.392,  34.857,  16.392
 981.000,11969.000,  80.851,  10.362,  80.568,  10.361,  74.714,  10.033
 982.000,11641.000,  89.874,   9.819,  89.670,   9.126,  83.133,   9.092
 983.000,   4.000,  40.250,   8.955,  30.750,   9.066,  31.750,   9.066
 984.000,12441.000,  89.067,   9.154,  87.659,   8.652,  81.614,   8.643
 985.000,16924.000,  96.719,   9.116,  93.266,   8.365,  87.153,   8.295
 986.000,11482.000,  90.760,   8.898,  91.594,   8.146,  83.599,   8.462
 987.000,  16.000,  43.625,  16.896,  39.625,  16.896,  39.750,  16.913
 988.000,13704.000,  77.349,  11.352,  80.814,  11.137,  73.870,  11.012
 989.000,16770.000,  95.525,   9.976,  91.774,   9.100,  84.371,   8.928
 990.000,21856.000,  94.805,   9.704,  94.048,   8.675,  84.746,   8.528
